	Silent/kb	TotMissense	TotSplicing	TotLOF	Missense/kb	LOF/kb	LOF/silent	Splicing/silent	Missense/silent	Hifi/Lofi	LOF/benign	Splicing/benign	Missense/benign	Hifi/benign	avgPolyphen2	LOF/tot	Missense/tot	Splicing/tot	LOF/missense	Mifi/kb	Nonstop/kb	Inframe/kb	Complex/kb	Compound/benign	Compound/kB	Damaging/kb	Damaging/benign	Damaging/Lofi	MissenseEntr	HiMisFreq	FSEntr	HiFSFreq	SplicEntr	HiSplicFreq	NonsenseEntr	HiNonsenseFreq	TotMifi	Label
KCNMB3_ENST00000392685	0.0	0	0	1	0.0	0.0012077294685990338	192.0	192.0	192.0	42.0	210.0	210.0	210.0	210.0	0	1.0	0.0	0.0	842.0	0.0	0.0	0.0	0.0	210.0	0.0	0.0	210.0	42.0	0	0	0.0	1.0	0	0	0	0	0	Unlabeled
WDR74_ENST00000525239	0.0	1	0	0	0.0008635578583765112	0.0	192.0	192.0	192.0	42.0	210.0	210.0	210.0	210.0	0.994	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	210.0	0.0008635578583765112	0.0008635578583765112	210.0	42.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
TP63_ENST00000354600	0.0005678591709256105	5	0	1	0.0028392958546280523	0.0005678591709256105	1.0	0.0	5.0	42.0	1.0	0.0	5.0	1.0	0.998	0.14285714285714285	0.7142857142857143	0.0	0.2	0.0	0.0	0.0	0.0	5.0	0.0028392958546280523	0.0005678591709256105	1.0	42.0	-2.220446049250313e-16	0.2	0	0	0	0	0.0	1.0	0	Unlabeled
DNAJC4	0.0	1	0	0	0.0024509803921568627	0.0	192.0	192.0	192.0	0.0	0.0	0.0	1.0	0.0	0.001	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
MFAP4_ENST00000395592	0.0011904761904761906	0	0	0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	842.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0	0	0	0	0	0	0	0	0	Unlabeled
F12	0.0005411255411255411	0	0	0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	842.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0	0	0	0	0	0	0	0	0	Unlabeled
PCDHA1	0.0020627062706270625	11	0	0	0.004537953795379538	0.0	0.0	0.0	2.2	42.0	0.0	0.0	2.2	0.4	0.9904999999999999	0.0	0.6875	0.0	0.0	0.0	0.0	0.0	0.0	2.2	0.004537953795379538	0.0008250825082508251	0.4	42.0	0.030716580297483365	0.09090909090909091	0	0	0	0	0	0	0	Unlabeled
NRG1	0.0015479876160990713	3	0	0	0.0015479876160990713	0.0	0.0	0.0	1.0	42.0	0.0	0.0	1.0	0.0	0.243	0.0	0.5	0.0	0.0	0.0005159958720330237	0.0	0.0	0.0	1.0	0.0015479876160990713	0.0005159958720330237	0.3333333333333333	42.0	2.220446049250313e-16	0.3333333333333333	0	0	0	0	0	0	1	Unlabeled
LRIT2	0.0006049606775559589	0	0	0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	842.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0	0	0	0	0	0	0	0	0	Unlabeled
RGMB	0.0006958942240779402	7	0	0	0.0048712595685455815	0.0	0.0	0.0	7.0	42.0	0.0	0.0	7.0	0.0	0	0.0	0.875	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0048712595685455815	0.0	0.0	42.0	0.3023006484942967	0.7142857142857143	0	0	0	0	0	0	0	Unlabeled
