	Silent/kb	TotMissense	TotSplicing	TotLOF	Missense/kb	LOF/kb	LOF/silent	Splicing/silent	Missense/silent	Hifi/Lofi	LOF/benign	Splicing/benign	Missense/benign	Hifi/benign	avgPolyphen2	LOF/tot	Missense/tot	Splicing/tot	LOF/missense	Mifi/kb	Nonstop/kb	Inframe/kb	Complex/kb	Compound/benign	Compound/kB	Damaging/kb	Damaging/benign	Damaging/Lofi	MissenseEntr	HiMisFreq	FSEntr	HiFSFreq	SplicEntr	HiSplicFreq	NonsenseEntr	HiNonsenseFreq	TotMifi	Label
THEMIS	0.0010384215991692627	3	0	0	0.001557632398753894	0.0	0.0	0.0	1.5	16.0	0.0	0.0	1.5	0.0	0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.001557632398753894	0.0	0.0	16.0	2.220446049250313e-16	0.3333333333333333	0	0	0	0	0	0	0	Unlabeled
CHRM4	0.0006944444444444445	6	0	0	0.004166666666666667	0.0	0.0	0.0	6.0	16.0	0.0	0.0	6.0	1.0	0.996	0.0	0.8571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.004166666666666667	0.0006944444444444445	1.0	16.0	2.220446049250313e-16	0.16666666666666666	0	0	0	0	0	0	0	Unlabeled
FOXR2	0.002136752136752137	1	0	0	0.0010683760683760685	0.0	0.0	0.0	0.5	16.0	0.0	0.0	0.5	0.0	0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0010683760683760685	0.0	0.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
CAMKK1_ENST00000158166	0.0006397952655150352	1	0	0	0.0006397952655150352	0.0	0.0	0.0	1.0	16.0	0.0	0.0	1.0	0.0	0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0006397952655150352	0.0	0.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
MUC4_ENST00000463781	0.002709526448672948	105	0	1	0.0064659153888786255	6.158014656074881e-05	0.022727272727272728	0.0	2.3863636363636362	1.25	0.019230769230769232	0.0	2.019230769230769	0.19230769230769232	0.5777	0.006666666666666667	0.7	0.0	0.009523809523809525	0.00012316029312149762	0.0	0.0	0.0	1.8653846153846154	0.005973274216392635	0.0007389617587289858	0.23076923076923078	1.5	0.05956486171312303	0.009523809523809525	0	0	0	0	0.0	1.0	2	Unlabeled
SLC22A10	0.0	2	0	0	0.0012300123001230013	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0012300123001230013	0.0	104.0	16.0	0.0	0.5	0	0	0	0	0	0	0	Unlabeled
MTHFD1	0.0	3	0	0	0.0010683760683760685	0.0	88.0	88.0	88.0	0.0	0.0	0.0	3.0	0.0	0.001	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0007122507122507123	0.0	0.0	0.0	2.220446049250313e-16	0.3333333333333333	0	0	0	0	0	0	0	Unlabeled
NAA30	0.0	3	0	1	0.0027548209366391185	0.0009182736455463728	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.25	0.75	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	104.0	0.0027548209366391185	0.0	104.0	16.0	2.220446049250313e-16	0.3333333333333333	0	0	0	0	0.0	1.0	0	Unlabeled
ABCA4_ENST00000535735	0.0	5	0	0	0.0017006802721088435	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0017006802721088435	0.0006802721088435374	104.0	16.0	-2.220446049250313e-16	0.2	0	0	0	0	0	0	0	Unlabeled
ZNF711	0.0004317789291882556	0	0	0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	334.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0	0	0	0	0	0	0	0	0	Unlabeled
ECT2_ENST00000427830	0.0007183908045977011	0	0	0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	334.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0	0	0	0	0	0	0	0	0	Unlabeled
TBKBP1_ENST00000361722	0.0005411255411255411	3	0	1	0.0016233766233766235	0.0005411255411255411	1.0	0.0	3.0	16.0	1.0	0.0	3.0	1.0	0.8625	0.2	0.6	0.0	0.3333333333333333	0.0005411255411255411	0.0	0.0	0.0	3.0	0.0016233766233766235	0.0010822510822510823	2.0	16.0	2.220446049250313e-16	0.3333333333333333	0	0	0	0	0.0	1.0	1	Unlabeled
