ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
ADAMTSL4	ADAMTS like 4(ADAMTSL4)	Homo sapiens				GO:0002064~epithelial cell development,GO:0006508~proteolysis,GO:0006915~apoptotic process,GO:0030198~extracellular matrix organization,GO:0036066~protein O-linked fucosylation,GO:0043065~positive regulation of apoptotic process,	GO:0005614~interstitial matrix,GO:0005788~endoplasmic reticulum lumen,GO:0031012~extracellular matrix,	GO:0002020~protease binding,GO:0004222~metalloendopeptidase activity,GO:0005515~protein binding,GO:0008233~peptidase activity,	IPR000884:Thrombospondin, type 1 repeat,IPR010294:ADAM-TS Spacer 1,IPR010909:PLAC,		225100~Ectopia lentis, isolated, autosomal recessive,225200~Ectopia lentis et pupillae,		SM00209:TSP1,	Alternative splicing,Apoptosis,Complete proteome,Extracellular matrix,Glycoprotein,Polymorphism,Reference proteome,Repeat,Secreted,Signal,	chain:ADAMTS-like protein 4,compositionally biased region:Pro-rich,domain:PLAC,domain:TSP type-1 1,domain:TSP type-1 2,domain:TSP type-1 3,domain:TSP type-1 4,domain:TSP type-1 5,domain:TSP type-1 6,glycosylation site:N-linked (GlcNAc...),sequence variant,signal peptide,splice variant,
ARID1A	AT-rich interaction domain 1A(ARID1A)	Homo sapiens		h_hSWI-SNFpathway:Chromatin Remodeling by hSWI/SNF ATP-dependent Complexes,h_vdrPathway:Control of Gene Expression by Vitamin D Receptor,		GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001843~neural tube closure,GO:0003205~cardiac chamber development,GO:0003408~optic cup formation involved in camera-type eye development,GO:0006337~nucleosome disassembly,GO:0006338~chromatin remodeling,GO:0006344~maintenance of chromatin silencing,GO:0006351~transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0016569~covalent chromatin modification,GO:0030520~intracellular estrogen receptor signaling pathway,GO:0030521~androgen receptor signaling pathway,GO:0030900~forebrain development,GO:0042766~nucleosome mobilization,GO:0042921~glucocorticoid receptor signaling pathway,GO:0043044~ATP-dependent chromatin remodeling,GO:0045893~positive regulation of transcription, DNA-templated,GO:0048096~chromatin-mediated maintenance of transcription,GO:0055007~cardiac muscle cell differentiation,GO:0060674~placenta blood vessel development,GO:1901998~toxin transport,	GO:0000790~nuclear chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0016514~SWI/SNF complex,GO:0071564~npBAF complex,GO:0071565~nBAF complex,GO:0090544~BAF-type complex,	GO:0003677~DNA binding,GO:0003713~transcription coactivator activity,GO:0005515~protein binding,GO:0016922~ligand-dependent nuclear receptor binding,GO:0031491~nucleosome binding,	IPR001606:ARID/BRIGHT DNA-binding domain,IPR011989:Armadillo-like helical,IPR016024:Armadillo-type fold,IPR021906:Protein of unknown function DUF3518,		614607~Mental retardation, autosomal dominant 14,		SM00501:BRIGHT,	3D-structure,Acetylation,Alternative splicing,Chromatin regulator,Complete proteome,Direct protein sequencing,DNA-binding,Mental retardation,Methylation,Neurogenesis,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transcription,Transcription regulation,	chain:AT-rich interactive domain-containing protein 1A,compositionally biased region:Gln-rich,compositionally biased region:Poly-Gln,compositionally biased region:Poly-Ser,domain:ARID,helix,modified residue,mutagenesis site,sequence conflict,short sequence motif:LXXLL,splice variant,strand,turn,
ARID1B	AT-rich interaction domain 1B(ARID1B)	Homo sapiens				GO:0006338~chromatin remodeling,GO:0006351~transcription, DNA-templated,GO:0007270~neuron-neuron synaptic transmission,GO:0007399~nervous system development,GO:0016569~covalent chromatin modification,GO:0048096~chromatin-mediated maintenance of transcription,GO:0060996~dendritic spine development,GO:0097026~dendritic cell dendrite assembly,	GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0016514~SWI/SNF complex,GO:0071565~nBAF complex,GO:0090544~BAF-type complex,	GO:0003677~DNA binding,GO:0003713~transcription coactivator activity,GO:0005515~protein binding,	IPR001606:ARID/BRIGHT DNA-binding domain,IPR011989:Armadillo-like helical,IPR021906:Protein of unknown function DUF3518,		614562~Mental retardation, autosomal dominant 12,		SM00501:BRIGHT,	3D-structure,Acetylation,Alternative splicing,Chromatin regulator,Complete proteome,DNA-binding,Mental retardation,Methylation,Neurogenesis,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transcription,Transcription regulation,Triplet repeat expansion,	chain:AT-rich interactive domain-containing protein 1B,compositionally biased region:Ala-rich,compositionally biased region:Gln-rich,compositionally biased region:Gly-rich,compositionally biased region:His-rich,compositionally biased region:Poly-Ala,compositionally biased region:Poly-Pro,compositionally biased region:Poly-Ser,compositionally biased region:Pro-rich,compositionally biased region:Ser-rich,domain:ARID,helix,modified residue,sequence conflict,sequence variant,short sequence motif:LXXLL,splice variant,
ATRX	ATRX, chromatin remodeler(ATRX)	Homo sapiens				GO:0006281~DNA repair,GO:0006306~DNA methylation,GO:0006310~DNA recombination,GO:0006334~nucleosome assembly,GO:0006336~DNA replication-independent nucleosome assembly,GO:0006338~chromatin remodeling,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007283~spermatogenesis,GO:0010571~positive regulation of nuclear cell cycle DNA replication,GO:0016569~covalent chromatin modification,GO:0030330~DNA damage response, signal transduction by p53 class mediator,GO:0030900~forebrain development,GO:0031297~replication fork processing,GO:0032206~positive regulation of telomere maintenance,GO:0032508~DNA duplex unwinding,GO:0035128~post-embryonic forelimb morphogenesis,GO:0035264~multicellular organism growth,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0060009~Sertoli cell development,GO:0070198~protein localization to chromosome, telomeric region,GO:0072520~seminiferous tubule development,GO:0072711~cellular response to hydroxyurea,GO:1900112~regulation of histone H3-K9 trimethylation,GO:1901581~negative regulation of telomeric RNA transcription from RNA pol II promoter,GO:1901582~positive regulation of telomeric RNA transcription from RNA pol II promoter,GO:1904908~negative regulation of maintenance of mitotic sister chromatid cohesion, telomeric,	GO:0000784~nuclear chromosome, telomeric region,GO:0005634~nucleus,GO:0005720~nuclear heterochromatin,GO:0005721~pericentric heterochromatin,GO:0016605~PML body,GO:0031933~telomeric heterochromatin,GO:0070603~SWI/SNF superfamily-type complex,GO:1990707~nuclear subtelomeric heterochromatin,	GO:0003677~DNA binding,GO:0003678~DNA helicase activity,GO:0003682~chromatin binding,GO:0004386~helicase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0015616~DNA translocase activity,GO:0035064~methylated histone binding,GO:0042393~histone binding,GO:0046872~metal ion binding,GO:0070087~chromo shadow domain binding,	IPR000330:SNF2-related,IPR001650:Helicase, C-terminal,IPR011011:Zinc finger, FYVE/PHD-type,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR014001:Helicase, superfamily 1/2, ATP-binding domain,IPR025766:ADD domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		300448~Alpha-thalassemia myelodysplasia syndrome, somatic,301040~Alpha-thalassemia/mental retardation syndrome,309580~Mental retardation-hypotonic facies syndrome, X-linked,Mental retardation, X-linked 52~Mental retardation, X-linked 52,		SM00487:DEXDc,SM00490:HELICc,	3D-structure,Acetylation,Alternative splicing,ATP-binding,Chromatin regulator,Chromosome,Coiled coil,Complete proteome,Disease mutation,DNA damage,DNA repair,DNA-binding,Helicase,Hydrolase,Isopeptide bond,Mental retardation,Metal-binding,Methylation,Nucleotide-binding,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Telomere,Transcription,Transcription regulation,Ubl conjugation,Zinc,Zinc-finger,	chain:Transcriptional regulator ATRX,compositionally biased region:Poly-Asp,compositionally biased region:Poly-Gln,compositionally biased region:Poly-Glu,compositionally biased region:Poly-Lys,compositionally biased region:Poly-Ser,domain:Helicase ATP-binding,domain:Helicase C-terminal,helix,modified residue,nucleotide phosphate-binding region:ATP,sequence conflict,sequence variant,short sequence motif:DEGH box,short sequence motif:PxVxL motif,splice variant,strand,turn,zinc finger region:GATA-type; atypical,zinc finger region:PHD-type,
BCL9L	B-cell CLL/lymphoma 9-like(BCL9L)	Homo sapiens				GO:0006351~transcription, DNA-templated,GO:0010718~positive regulation of epithelial to mesenchymal transition,GO:0022604~regulation of cell morphogenesis,GO:0030512~negative regulation of transforming growth factor beta receptor signaling pathway,GO:0035019~somatic stem cell population maintenance,GO:0035914~skeletal muscle cell differentiation,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0060070~canonical Wnt signaling pathway,GO:1904837~beta-catenin-TCF complex assembly,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,	GO:0003713~transcription coactivator activity,GO:0008013~beta-catenin binding,	IPR015668:B Cell Lymphoma 9,IPR024670:B-cell lymphoma 9, beta-catenin binding domain,					3D-structure,Acetylation,Activator,Alternative splicing,Complete proteome,Methylation,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Transcription,Transcription regulation,	chain:B-cell CLL/lymphoma 9-like protein,compositionally biased region:Met-rich,compositionally biased region:Pro-rich,modified residue,region of interest:Necessary for interaction with CTNNB1,splice variant,
BCORL1	BCL6 corepressor-like 1(BCORL1)	Homo sapiens				GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0016569~covalent chromatin modification,	GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005886~plasma membrane,		IPR002110:Ankyrin repeat,IPR020683:Ankyrin repeat-containing domain,				SM00248:ANK,	3D-structure,Alternative splicing,ANK repeat,Chromatin regulator,Complete proteome,Isopeptide bond,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Repressor,Transcription,Transcription regulation,Ubl conjugation,	chain:BCL-6 corepressor-like protein 1,compositionally biased region:Pro-rich,modified residue,mutagenesis site,repeat:ANK 1,repeat:ANK 2,repeat:ANK 3,sequence conflict,sequence variant,short sequence motif:Nuclear localization signal,splice variant,
BRCA2	BRCA2, DNA repair associated(BRCA2)	Homo sapiens		h_atrbrcaPathway:Role of BRCA1,  BRCA2 and ATR in Cancer Susceptibility,		GO:0000722~telomere maintenance via recombination,GO:0000724~double-strand break repair via homologous recombination,GO:0000731~DNA synthesis involved in DNA repair,GO:0000732~strand displacement,GO:0000910~cytokinesis,GO:0001556~oocyte maturation,GO:0001833~inner cell mass cell proliferation,GO:0006289~nucleotide-excision repair,GO:0006302~double-strand break repair,GO:0006978~DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator,GO:0007141~male meiosis I,GO:0007283~spermatogenesis,GO:0007420~brain development,GO:0007569~cell aging,GO:0008585~female gonad development,GO:0010165~response to X-ray,GO:0010225~response to UV-C,GO:0010332~response to gamma radiation,GO:0030097~hemopoiesis,GO:0031052~chromosome breakage,GO:0032465~regulation of cytokinesis,GO:0033600~negative regulation of mammary gland epithelial cell proliferation,GO:0042771~intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,GO:0043966~histone H3 acetylation,GO:0043967~histone H4 acetylation,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045931~positive regulation of mitotic cell cycle,GO:0048478~replication fork protection,GO:0051298~centrosome duplication,GO:0070200~establishment of protein localization to telomere,GO:1990426~mitotic recombination-dependent replication fork processing,	GO:0000784~nuclear chromosome, telomeric region,GO:0000800~lateral element,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005813~centrosome,GO:0016021~integral component of membrane,GO:0030141~secretory granule,GO:0033593~BRCA2-MAGE-D1 complex,GO:0043234~protein complex,	GO:0002020~protease binding,GO:0003697~single-stranded DNA binding,GO:0004402~histone acetyltransferase activity,GO:0005515~protein binding,GO:0008022~protein C-terminus binding,GO:0010484~H3 histone acetyltransferase activity,GO:0010485~H4 histone acetyltransferase activity,GO:0043015~gamma-tubulin binding,	IPR002093:BRCA2 repeat,IPR012340:Nucleic acid-binding, OB-fold,IPR015187:BRCA2, oligonucleotide/oligosaccharide-binding 1,IPR015188:BRCA2, oligonucleotide/oligosaccharide-binding 3,IPR015205:Tower,IPR015252:DNA recombination/repair protein BRCA2, helical domain,IPR015525:Breast cancer type 2 susceptibility protein,	hsa03440:Homologous recombination,hsa03460:Fanconi anemia pathway,hsa05200:Pathways in cancer,hsa05212:Pancreatic cancer,	114480~Breast cancer, male, susceptibility to,155255~Medulloblastoma,176807~Prostate cancer,194070~Wilms tumor,605724~Fanconi anemia, complementation group D1,612555~Breast-ovarian cancer, familial, 2,613029~Glioblastoma 3,613347~Pancreatic cancer 2,	PIRSF002397:DNA recombination repair protein, BRCA2 type,	SM01341:SM01341,	3D-structure,Cell cycle,Complete proteome,Cytoplasm,Cytoskeleton,Disease mutation,DNA damage,DNA recombination,DNA repair,DNA-binding,Fanconi anemia,Membrane,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Transmembrane,Transmembrane helix,Tumor suppressor,Ubl conjugation,	chain:Breast cancer type 2 susceptibility protein,helix,modified residue,region of interest:Interaction with FANCD2,region of interest:Interaction with PALB2,repeat:BRCA2 1,repeat:BRCA2 2,repeat:BRCA2 3,repeat:BRCA2 4,repeat:BRCA2 5,repeat:BRCA2 6,repeat:BRCA2 7,repeat:BRCA2 8,sequence conflict,sequence variant,turn,
BTBD7	BTB domain containing 7(BTBD7)	Homo sapiens				GO:0007275~multicellular organism development,GO:0060693~regulation of branching involved in salivary gland morphogenesis,	GO:0005634~nucleus,		IPR000210:BTB/POZ-like,IPR011333:BTB/POZ fold,IPR011705:BTB/Kelch-associated,				SM00225:BTB,SM00875:SM00875,	Alternative splicing,Complete proteome,Developmental protein,Lipoprotein,Myristate,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,	chain:BTB/POZ domain-containing protein 7,compositionally biased region:Poly-Ala,compositionally biased region:Pro-rich,domain:BTB 1,domain:BTB 2,modified residue,sequence conflict,splice variant,
FBXW7	F-box and WD repeat domain containing 7(FBXW7)	Homo sapiens		h_fbw7Pathway:Cyclin E Destruction Pathway,		GO:0000209~protein polyubiquitination,GO:0001944~vasculature development,GO:0006974~cellular response to DNA damage stimulus,GO:0007062~sister chromatid cohesion,GO:0010868~negative regulation of triglyceride biosynthetic process,GO:0010883~regulation of lipid storage,GO:0016032~viral process,GO:0016567~protein ubiquitination,GO:0031146~SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,GO:0031398~positive regulation of protein ubiquitination,GO:0032876~negative regulation of DNA endoreduplication,GO:0032880~regulation of protein localization,GO:0034644~cellular response to UV,GO:0045741~positive regulation of epidermal growth factor-activated receptor activity,GO:0045746~negative regulation of Notch signaling pathway,GO:0050821~protein stabilization,GO:0051443~positive regulation of ubiquitin-protein transferase activity,GO:0055088~lipid homeostasis,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:1901800~positive regulation of proteasomal protein catabolic process,GO:1902806~regulation of cell cycle G1/S phase transition,GO:1903146~regulation of mitophagy,GO:1903378~positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway,GO:1903955~positive regulation of protein targeting to mitochondrion,GO:2000060~positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process,GO:2000346~negative regulation of hepatocyte proliferation,GO:2000639~negative regulation of SREBP signaling pathway,	GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0019005~SCF ubiquitin ligase complex,GO:0043234~protein complex,GO:1990452~Parkin-FBXW7-Cul1 ubiquitin ligase complex,	GO:0004842~ubiquitin-protein transferase activity,GO:0005515~protein binding,GO:0030332~cyclin binding,GO:0030674~protein binding, bridging,GO:0031625~ubiquitin protein ligase binding,GO:0042802~identical protein binding,GO:0050816~phosphothreonine binding,GO:0097027~ubiquitin-protein transferase activator activity,	IPR001680:WD40 repeat,IPR001810:F-box domain, cyclin-like,IPR015943:WD40/YVTN repeat-like-containing domain,IPR017986:WD40-repeat-containing domain,IPR019775:WD40 repeat, conserved site,IPR020472:G-protein beta WD-40 repeat,	hsa04120:Ubiquitin mediated proteolysis,			SM00256:FBOX,SM00320:WD40,	3D-structure,Alternative splicing,Coiled coil,Complete proteome,Cytoplasm,Host-virus interaction,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Signal,Ubl conjugation,Ubl conjugation pathway,WD repeat,	chain:F-box/WD repeat-containing protein 7,domain:F-box,helix,modified residue,repeat:WD 1,repeat:WD 2,repeat:WD 3,repeat:WD 4,repeat:WD 5,repeat:WD 6,repeat:WD 7,sequence conflict,sequence variant,splice variant,strand,turn,
GCC2	GRIP and coiled-coil domain containing 2(GCC2)	Homo sapiens				GO:0000042~protein targeting to Golgi,GO:0006622~protein targeting to lysosome,GO:0031023~microtubule organizing center organization,GO:0034067~protein localization to Golgi apparatus,GO:0034453~microtubule anchoring,GO:0034499~late endosome to Golgi transport,GO:0042147~retrograde transport, endosome to Golgi,GO:0043001~Golgi to plasma membrane protein transport,GO:0070861~regulation of protein exit from endoplasmic reticulum,GO:0071955~recycling endosome to Golgi transport,GO:0090161~Golgi ribbon formation,	GO:0005622~intracellular,GO:0005794~Golgi apparatus,GO:0005802~trans-Golgi network,GO:0005829~cytosol,GO:0016020~membrane,	GO:0005515~protein binding,GO:0042802~identical protein binding,	IPR000237:GRIP,				SM00755:Grip,	3D-structure,Acetylation,Alternative splicing,Coiled coil,Complete proteome,Cytoplasm,Golgi apparatus,Membrane,Phosphoprotein,Polymorphism,Protein transport,Proteomics identification,Reference proteome,Transport,	chain:GRIP and coiled-coil domain-containing protein 2,compositionally biased region:Glu-rich,domain:GRIP,helix,modified residue,mutagenesis site,sequence conflict,sequence variant,splice variant,
