ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
ADAMTSL4	ADAMTS like 4(ADAMTSL4)	Homo sapiens				GO:0002064~epithelial cell development,GO:0006508~proteolysis,GO:0006915~apoptotic process,GO:0030198~extracellular matrix organization,GO:0036066~protein O-linked fucosylation,GO:0043065~positive regulation of apoptotic process,	GO:0005614~interstitial matrix,GO:0005788~endoplasmic reticulum lumen,GO:0031012~extracellular matrix,	GO:0002020~protease binding,GO:0004222~metalloendopeptidase activity,GO:0005515~protein binding,GO:0008233~peptidase activity,	IPR000884:Thrombospondin, type 1 repeat,IPR010294:ADAM-TS Spacer 1,IPR010909:PLAC,		225100~Ectopia lentis, isolated, autosomal recessive,225200~Ectopia lentis et pupillae,		SM00209:TSP1,	Alternative splicing,Apoptosis,Complete proteome,Extracellular matrix,Glycoprotein,Polymorphism,Reference proteome,Repeat,Secreted,Signal,	chain:ADAMTS-like protein 4,compositionally biased region:Pro-rich,domain:PLAC,domain:TSP type-1 1,domain:TSP type-1 2,domain:TSP type-1 3,domain:TSP type-1 4,domain:TSP type-1 5,domain:TSP type-1 6,glycosylation site:N-linked (GlcNAc...),sequence variant,signal peptide,splice variant,
ARL13B	ADP ribosylation factor like GTPase 13B(ARL13B)	Homo sapiens				GO:0001947~heart looping,GO:0007224~smoothened signaling pathway,GO:0007264~small GTPase mediated signal transduction,GO:0009953~dorsal/ventral pattern formation,GO:0021532~neural tube patterning,GO:0021830~interneuron migration from the subpallium to the cortex,GO:0021943~formation of radial glial scaffolds,GO:0035058~nonmotile primary cilium assembly,GO:0042384~cilium assembly,GO:0060271~cilium morphogenesis,GO:0070986~left/right axis specification,	GO:0005929~cilium,GO:0005930~axoneme,GO:0031514~motile cilium,GO:0060170~ciliary membrane,GO:0072372~primary cilium,	GO:0005515~protein binding,GO:0005525~GTP binding,	IPR005225:Small GTP-binding protein domain,IPR006689:Small GTPase superfamily, ARF/SAR type,IPR024156:Small GTPase superfamily, ARF type,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		612291~Joubert syndrome 8,			Alternative splicing,Cell membrane,Cell projection,Ciliopathy,Cilium,Coiled coil,Complete proteome,Disease mutation,GTP-binding,Isopeptide bond,Joubert syndrome,Lipoprotein,Membrane,Nucleotide-binding,Palmitate,Polymorphism,Proteomics identification,Reference proteome,Ubl conjugation,	chain:ADP-ribosylation factor-like protein 13B,compositionally biased region:Pro-rich,nucleotide phosphate-binding region:GTP,sequence variant,splice variant,
AHCTF1	AT-hook containing transcription factor 1(AHCTF1)	Homo sapiens				GO:0000910~cytokinesis,GO:0006355~regulation of transcription, DNA-templated,GO:0007062~sister chromatid cohesion,GO:0015031~protein transport,GO:0051028~mRNA transport,GO:0051292~nuclear pore complex assembly,	GO:0000777~condensed chromosome kinetochore,GO:0000785~chromatin,GO:0005634~nucleus,GO:0005643~nuclear pore,GO:0005654~nucleoplasm,GO:0005829~cytosol,GO:0016363~nuclear matrix,GO:0031080~nuclear pore outer ring,GO:0031965~nuclear membrane,GO:0034399~nuclear periphery,GO:0070062~extracellular exosome,	GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,	IPR011047:Quinonprotein alcohol dehydrogenase-like superfamily,IPR025151:ELYS-like domain,					Alternative splicing,Cell cycle,Cell division,Centromere,Chromosome,Complete proteome,Cytoplasm,DNA-binding,Kinetochore,mRNA transport,Nuclear pore complex,Nucleus,Phosphoprotein,Polymorphism,Protein transport,Proteomics identification,Reference proteome,Translocation,Transport,	chain:Protein ELYS,DNA-binding region:A.T hook,modified residue,region of interest:Mediates transcriptional activity,region of interest:Necessary for cytoplasmic localization,region of interest:Necessary for nuclear localization,sequence conflict,sequence variant,splice variant,
ARID1A	AT-rich interaction domain 1A(ARID1A)	Homo sapiens		h_hSWI-SNFpathway:Chromatin Remodeling by hSWI/SNF ATP-dependent Complexes,h_vdrPathway:Control of Gene Expression by Vitamin D Receptor,		GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001843~neural tube closure,GO:0003205~cardiac chamber development,GO:0003408~optic cup formation involved in camera-type eye development,GO:0006337~nucleosome disassembly,GO:0006338~chromatin remodeling,GO:0006344~maintenance of chromatin silencing,GO:0006351~transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0016569~covalent chromatin modification,GO:0030520~intracellular estrogen receptor signaling pathway,GO:0030521~androgen receptor signaling pathway,GO:0030900~forebrain development,GO:0042766~nucleosome mobilization,GO:0042921~glucocorticoid receptor signaling pathway,GO:0043044~ATP-dependent chromatin remodeling,GO:0045893~positive regulation of transcription, DNA-templated,GO:0048096~chromatin-mediated maintenance of transcription,GO:0055007~cardiac muscle cell differentiation,GO:0060674~placenta blood vessel development,GO:1901998~toxin transport,	GO:0000790~nuclear chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0016514~SWI/SNF complex,GO:0071564~npBAF complex,GO:0071565~nBAF complex,GO:0090544~BAF-type complex,	GO:0003677~DNA binding,GO:0003713~transcription coactivator activity,GO:0005515~protein binding,GO:0016922~ligand-dependent nuclear receptor binding,GO:0031491~nucleosome binding,	IPR001606:ARID/BRIGHT DNA-binding domain,IPR011989:Armadillo-like helical,IPR016024:Armadillo-type fold,IPR021906:Protein of unknown function DUF3518,		614607~Mental retardation, autosomal dominant 14,		SM00501:BRIGHT,	3D-structure,Acetylation,Alternative splicing,Chromatin regulator,Complete proteome,Direct protein sequencing,DNA-binding,Mental retardation,Methylation,Neurogenesis,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transcription,Transcription regulation,	chain:AT-rich interactive domain-containing protein 1A,compositionally biased region:Gln-rich,compositionally biased region:Poly-Gln,compositionally biased region:Poly-Ser,domain:ARID,helix,modified residue,mutagenesis site,sequence conflict,short sequence motif:LXXLL,splice variant,strand,turn,
ARID1B	AT-rich interaction domain 1B(ARID1B)	Homo sapiens				GO:0006338~chromatin remodeling,GO:0006351~transcription, DNA-templated,GO:0007270~neuron-neuron synaptic transmission,GO:0007399~nervous system development,GO:0016569~covalent chromatin modification,GO:0048096~chromatin-mediated maintenance of transcription,GO:0060996~dendritic spine development,GO:0097026~dendritic cell dendrite assembly,	GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0016514~SWI/SNF complex,GO:0071565~nBAF complex,GO:0090544~BAF-type complex,	GO:0003677~DNA binding,GO:0003713~transcription coactivator activity,GO:0005515~protein binding,	IPR001606:ARID/BRIGHT DNA-binding domain,IPR011989:Armadillo-like helical,IPR021906:Protein of unknown function DUF3518,		614562~Mental retardation, autosomal dominant 12,		SM00501:BRIGHT,	3D-structure,Acetylation,Alternative splicing,Chromatin regulator,Complete proteome,DNA-binding,Mental retardation,Methylation,Neurogenesis,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transcription,Transcription regulation,Triplet repeat expansion,	chain:AT-rich interactive domain-containing protein 1B,compositionally biased region:Ala-rich,compositionally biased region:Gln-rich,compositionally biased region:Gly-rich,compositionally biased region:His-rich,compositionally biased region:Poly-Ala,compositionally biased region:Poly-Pro,compositionally biased region:Poly-Ser,compositionally biased region:Pro-rich,compositionally biased region:Ser-rich,domain:ARID,helix,modified residue,sequence conflict,sequence variant,short sequence motif:LXXLL,splice variant,
ATM	ATM serine/threonine kinase(ATM)	Homo sapiens		h_atmPathway:ATM Signaling Pathway,h_atrbrcaPathway:Role of BRCA1,  BRCA2 and ATR in Cancer Susceptibility,H_cdc25Pathway:cdc25 and chk1 Regulatory Pathway in response to DNA damage,h_chemicalPathway:Apoptotic Signaling in Response to DNA Damage,h_g1Pathway:Cell Cycle: G1/S Check Point ,h_g2Pathway:Cell Cycle: G2/M Checkpoint,h_p53hypoxiaPathway:Hypoxia and p53 in the Cardiovascular system,h_p53Pathway:p53 Signaling Pathway,h_plk3Pathway:Regulation of cell cycle progression by Plk3,h_rbPathway:RB Tumor Suppressor/Checkpoint Signaling in response to DNA damage,		GO:0000077~DNA damage checkpoint,GO:0000723~telomere maintenance,GO:0000724~double-strand break repair via homologous recombination,GO:0000729~DNA double-strand break processing,GO:0000731~DNA synthesis involved in DNA repair,GO:0000732~strand displacement,GO:0001666~response to hypoxia,GO:0001756~somitogenesis,GO:0002331~pre-B cell allelic exclusion,GO:0006260~DNA replication,GO:0006281~DNA repair,GO:0006303~double-strand break repair via nonhomologous end joining,GO:0006468~protein phosphorylation,GO:0006974~cellular response to DNA damage stimulus,GO:0006975~DNA damage induced protein phosphorylation,GO:0006977~DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest,GO:0007004~telomere maintenance via telomerase,GO:0007050~cell cycle arrest,GO:0007094~mitotic spindle assembly checkpoint,GO:0007131~reciprocal meiotic recombination,GO:0007165~signal transduction,GO:0007420~brain development,GO:0007507~heart development,GO:0008340~determination of adult lifespan,GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage,GO:0010212~response to ionizing radiation,GO:0010506~regulation of autophagy,GO:0016572~histone phosphorylation,GO:0018105~peptidyl-serine phosphorylation,GO:0030889~negative regulation of B cell proliferation,GO:0032212~positive regulation of telomere maintenance via telomerase,GO:0033129~positive regulation of histone phosphorylation,GO:0033151~V(D)J recombination,GO:0036092~phosphatidylinositol-3-phosphate biosynthetic process,GO:0036289~peptidyl-serine autophosphorylation,GO:0042159~lipoprotein catabolic process,GO:0042981~regulation of apoptotic process,GO:0043065~positive regulation of apoptotic process,GO:0043517~positive regulation of DNA damage response, signal transduction by p53 class mediator,GO:0043525~positive regulation of neuron apoptotic process,GO:0045141~meiotic telomere clustering,GO:0046777~protein autophosphorylation,GO:0048599~oocyte development,GO:0051402~neuron apoptotic process,GO:0051726~regulation of cell cycle,GO:0051972~regulation of telomerase activity,GO:0071044~histone mRNA catabolic process,GO:0071480~cellular response to gamma radiation,GO:0071481~cellular response to X-ray,GO:0071500~cellular response to nitrosative stress,GO:0072434~signal transduction involved in mitotic G2 DNA damage checkpoint,GO:0090399~replicative senescence,GO:0097694~establishment of RNA localization to telomere,GO:0097695~establishment of macromolecular complex localization to telomere,GO:1900034~regulation of cellular response to heat,GO:1901796~regulation of signal transduction by p53 class mediator,GO:1904262~negative regulation of TORC1 signaling,GO:1904354~negative regulation of telomere capping,GO:1904358~positive regulation of telomere maintenance via telomere lengthening,GO:1904884~positive regulation of telomerase catalytic core complex assembly,	GO:0000781~chromosome, telomeric region,GO:0000784~nuclear chromosome, telomeric region,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005819~spindle,GO:0016023~cytoplasmic, membrane-bounded vesicle,GO:0031410~cytoplasmic vesicle,GO:1990391~DNA repair complex,	GO:0003677~DNA binding,GO:0004674~protein serine/threonine kinase activity,GO:0004677~DNA-dependent protein kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0016303~1-phosphatidylinositol-3-kinase activity,GO:0016740~transferase activity,GO:0032403~protein complex binding,GO:0046983~protein dimerization activity,GO:0047485~protein N-terminus binding,	IPR000403:Phosphatidylinositol 3-/4-kinase, catalytic domain,IPR003151:PIK-related kinase, FAT,IPR003152:PIK-related kinase, FATC,IPR011009:Protein kinase-like domain,IPR014009:PIK-related kinase,IPR015519:ATM/Tel1,IPR016024:Armadillo-type fold,IPR018936:Phosphatidylinositol 3/4-kinase, conserved site,IPR021668:Telomere-length maintenance and DNA damage repair,	hsa04064:NF-kappa B signaling pathway,hsa04068:FoxO signaling pathway,hsa04110:Cell cycle,hsa04115:p53 signaling pathway,hsa04210:Apoptosis,hsa05166:HTLV-I infection,hsa05202:Transcriptional misregulation in cancer,hsa05206:MicroRNAs in cancer,	114480~Breast cancer, susceptibility to,208900~Ataxia-telangiectasia,Lymphoma, B-cell non-Hodgkin, somatic~Lymphoma, B-cell non-Hodgkin, somatic,Lymphoma, mantle cell~Lymphoma, mantle cell,T-cell prolymphocytic leukemia, somatic~T-cell prolymphocytic leukemia, somatic,		SM00146:PI3Kc,SM01342:SM01342,SM01343:SM01343,	Acetylation,ATP-binding,Cell cycle,Complete proteome,Cytoplasmic vesicle,Disease mutation,DNA damage,DNA-binding,Kinase,Neurodegeneration,Nucleotide-binding,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Serine/threonine-protein kinase,Transferase,Tumor suppressor,	chain:Serine-protein kinase ATM,domain:FAT,domain:FATC,domain:PI3K/PI4K,modified residue,mutagenesis site,region of interest:Interaction with ABL1,sequence conflict,sequence variant,splice variant,
ABCA10	ATP binding cassette subfamily A member 10(ABCA10)	Homo sapiens			Defense mechanisms,	GO:0006869~lipid transport,GO:0055085~transmembrane transport,	GO:0016021~integral component of membrane,GO:0043231~intracellular membrane-bounded organelle,	GO:0005215~transporter activity,GO:0005524~ATP binding,GO:0016887~ATPase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR017871:ABC transporter, conserved site,IPR026082:ABC transporter A, ABCA,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa02010:ABC transporters,			SM00382:AAA,	Alternative splicing,ATP-binding,Complete proteome,Membrane,Nucleotide-binding,Polymorphism,Proteomics identification,Reference proteome,Repeat,Transmembrane,Transmembrane helix,Transport,	chain:ATP-binding cassette sub-family A member 10,domain:ABC transporter 1,domain:ABC transporter 2,modified residue,nucleotide phosphate-binding region:ATP 1,nucleotide phosphate-binding region:ATP 2,sequence conflict,sequence variant,splice variant,transmembrane region,
ATP6V1C2	ATPase H+ transporting V1 subunit C2(ATP6V1C2)	Homo sapiens				GO:0008286~insulin receptor signaling pathway,GO:0015991~ATP hydrolysis coupled proton transport,GO:0016241~regulation of macroautophagy,GO:0030177~positive regulation of Wnt signaling pathway,GO:0033572~transferrin transport,GO:0034220~ion transmembrane transport,GO:0090383~phagosome acidification,	GO:0000221~vacuolar proton-transporting V-type ATPase, V1 domain,GO:0005765~lysosomal membrane,GO:0005829~cytosol,GO:0033180~proton-transporting V-type ATPase, V1 domain,GO:0070062~extracellular exosome,	GO:0008553~hydrogen-exporting ATPase activity, phosphorylative mechanism,GO:0015078~hydrogen ion transmembrane transporter activity,GO:0046961~proton-transporting ATPase activity, rotational mechanism,GO:0046983~protein dimerization activity,	IPR004907:ATPase, V1 complex, subunit C,	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa04145:Phagosome,hsa04721:Synaptic vesicle cycle,hsa04966:Collecting duct acid secretion,hsa05110:Vibrio cholerae infection,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,hsa05323:Rheumatoid arthritis,				Alternative splicing,Coiled coil,Complete proteome,Hydrogen ion transport,Ion transport,Polymorphism,Proteomics identification,Reference proteome,Transport,	chain:V-type proton ATPase subunit C 2,sequence variant,splice variant,
ATAD2	ATPase family, AAA domain containing 2(ATAD2)	Homo sapiens				GO:0006325~chromatin organization,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0031936~negative regulation of chromatin silencing,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0070062~extracellular exosome,	GO:0003682~chromatin binding,GO:0005524~ATP binding,GO:0016887~ATPase activity,GO:0042393~histone binding,	IPR001487:Bromodomain,IPR003593:AAA+ ATPase domain,IPR003959:ATPase, AAA-type, core,IPR003960:ATPase, AAA-type, conserved site,IPR011989:Armadillo-like helical,IPR027417:P-loop containing nucleoside triphosphate hydrolase,				SM00297:BROMO,SM00382:AAA,	3D-structure,Activator,Alternative splicing,ATP-binding,Bromodomain,Coiled coil,Complete proteome,Hydrolase,Nucleotide-binding,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transcription,Transcription regulation,	chain:ATPase family AAA domain-containing protein 2,compositionally biased region:Asp-rich,compositionally biased region:Poly-Ser,domain:Bromo,helix,modified residue,mutagenesis site,nucleotide phosphate-binding region:ATP,sequence variant,splice variant,turn,
ATRX	ATRX, chromatin remodeler(ATRX)	Homo sapiens				GO:0006281~DNA repair,GO:0006306~DNA methylation,GO:0006310~DNA recombination,GO:0006334~nucleosome assembly,GO:0006336~DNA replication-independent nucleosome assembly,GO:0006338~chromatin remodeling,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007283~spermatogenesis,GO:0010571~positive regulation of nuclear cell cycle DNA replication,GO:0016569~covalent chromatin modification,GO:0030330~DNA damage response, signal transduction by p53 class mediator,GO:0030900~forebrain development,GO:0031297~replication fork processing,GO:0032206~positive regulation of telomere maintenance,GO:0032508~DNA duplex unwinding,GO:0035128~post-embryonic forelimb morphogenesis,GO:0035264~multicellular organism growth,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0060009~Sertoli cell development,GO:0070198~protein localization to chromosome, telomeric region,GO:0072520~seminiferous tubule development,GO:0072711~cellular response to hydroxyurea,GO:1900112~regulation of histone H3-K9 trimethylation,GO:1901581~negative regulation of telomeric RNA transcription from RNA pol II promoter,GO:1901582~positive regulation of telomeric RNA transcription from RNA pol II promoter,GO:1904908~negative regulation of maintenance of mitotic sister chromatid cohesion, telomeric,	GO:0000784~nuclear chromosome, telomeric region,GO:0005634~nucleus,GO:0005720~nuclear heterochromatin,GO:0005721~pericentric heterochromatin,GO:0016605~PML body,GO:0031933~telomeric heterochromatin,GO:0070603~SWI/SNF superfamily-type complex,GO:1990707~nuclear subtelomeric heterochromatin,	GO:0003677~DNA binding,GO:0003678~DNA helicase activity,GO:0003682~chromatin binding,GO:0004386~helicase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0015616~DNA translocase activity,GO:0035064~methylated histone binding,GO:0042393~histone binding,GO:0046872~metal ion binding,GO:0070087~chromo shadow domain binding,	IPR000330:SNF2-related,IPR001650:Helicase, C-terminal,IPR011011:Zinc finger, FYVE/PHD-type,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR014001:Helicase, superfamily 1/2, ATP-binding domain,IPR025766:ADD domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		300448~Alpha-thalassemia myelodysplasia syndrome, somatic,301040~Alpha-thalassemia/mental retardation syndrome,309580~Mental retardation-hypotonic facies syndrome, X-linked,Mental retardation, X-linked 52~Mental retardation, X-linked 52,		SM00487:DEXDc,SM00490:HELICc,	3D-structure,Acetylation,Alternative splicing,ATP-binding,Chromatin regulator,Chromosome,Coiled coil,Complete proteome,Disease mutation,DNA damage,DNA repair,DNA-binding,Helicase,Hydrolase,Isopeptide bond,Mental retardation,Metal-binding,Methylation,Nucleotide-binding,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Telomere,Transcription,Transcription regulation,Ubl conjugation,Zinc,Zinc-finger,	chain:Transcriptional regulator ATRX,compositionally biased region:Poly-Asp,compositionally biased region:Poly-Gln,compositionally biased region:Poly-Glu,compositionally biased region:Poly-Lys,compositionally biased region:Poly-Ser,domain:Helicase ATP-binding,domain:Helicase C-terminal,helix,modified residue,nucleotide phosphate-binding region:ATP,sequence conflict,sequence variant,short sequence motif:DEGH box,short sequence motif:PxVxL motif,splice variant,strand,turn,zinc finger region:GATA-type; atypical,zinc finger region:PHD-type,
